id	name	confirmed	recovered	deaths	active	
LUX	Luxembourg	3894	3610	102	182	
ESH	Western Sahara	6	6	0	0	
SUR	Suriname	10	9	1	0	
173	Malta	506	434	5	67	
174	Maldives	904	29	3	872	
BRN	Brunei	141	134	1	6	
BLZ	Belize	18	16	2	0	
BHS	Bahamas	93	39	11	43	
ISL	Iceland	1801	1776	10	15	
180	Barbados	85	57	7	21	
186	Sao Tome and Principe	208	4	5	199	
187	Saint Lucia	18	17	0	1	
193	Saint Vincent and the Grenadines	17	12	0	5	
196	Seychelles	11	10	0	1	
197	Antigua and Barbuda	25	19	3	3	
198	Andorra	758	568	48	142	
DOM	Dominica	16	15	0	1	
207	Saint Kitts and Nevis	15	14	0	1	
210	Liechtenstein	82	55	1	26	
211	San Marino	638	161	41	436	
212	Monaco	96	85	4	7	
235	Holy See	12	2	0	10	
SDS	South Sudan	194	2	0	192	
